epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7595,1.38504,2.9999,1.17828,0.00341,0.99041,0.41015,0.20983,1.2508,3.23231,1.14775,0.000466199,0.000466199,0.000466199
2,12.4939,1.33398,1.98956,1.14728,0.57661,0.40752,0.64781,0.32328,1.30524,2.55775,1.2826,0.000933201,0.000933201,0.000933201
3,19.2306,1.26001,1.68473,1.16236,0.80802,0.90733,0.891,0.43444,1.56697,1.63857,1.62964,0.00139077,0.00139077,0.00139077
4,26.0129,1.21852,1.52766,1.14058,0.62542,0.74887,0.69498,0.36045,1.45048,1.71414,1.55193,0.00138656,0.00138656,0.00138656
5,32.7661,1.12759,1.39339,1.1059,0.66944,0.65861,0.69259,0.35738,1.51864,1.54396,1.55793,0.00137241,0.00137241,0.00137241
6,39.5196,1.14621,1.31475,1.10764,0.70195,0.8765,0.84198,0.46527,1.44215,1.19717,1.54832,0.00135826,0.00135826,0.00135826
7,46.28,1.12377,1.22308,1.11805,0.85861,0.83182,0.9191,0.5169,1.40533,1.12903,1.50147,0.00134412,0.00134412,0.00134412
8,53.0283,1.10066,1.18945,1.09697,0.66434,0.80988,0.81321,0.40691,1.40095,1.22502,1.52482,0.00132997,0.00132997,0.00132997
9,59.8005,1.06849,1.14711,1.08031,0.66871,0.65867,0.60865,0.32209,1.41446,1.53966,1.49293,0.00131582,0.00131582,0.00131582
10,66.627,1.03253,1.11311,1.07602,0.70719,0.74142,0.71246,0.3889,1.45531,1.38137,1.53407,0.00130168,0.00130168,0.00130168
11,73.4705,1.0359,1.08984,1.07224,0.64241,0.83553,0.78187,0.41753,1.41525,1.19873,1.49322,0.00128753,0.00128753,0.00128753
12,80.2683,1.04553,1.05771,1.08888,0.60943,0.89209,0.73133,0.38819,1.38525,1.23709,1.46832,0.00127338,0.00127338,0.00127338
13,87.0855,1.04186,1.06266,1.08799,0.53357,0.87614,0.76239,0.42341,1.37642,1.2051,1.44728,0.00125923,0.00125923,0.00125923
14,93.912,1.0075,1.03439,1.06837,0.59258,0.91846,0.78858,0.43743,1.3613,1.13549,1.44581,0.00124509,0.00124509,0.00124509
