epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2622,0.87225,1.8243,1.46252,0.87563,0.32362,0.28385,0.11839,1.17777,4.27682,2.11319,0.000302661,0.000302661,0.000302661
2,100.484,0.76979,1.09512,1.365,0.9896,0.30142,0.3493,0.15628,1.24763,4.53325,2.12512,0.000599665,0.000599665,0.000599665
3,175.285,0.75317,0.93037,1.34314,0.59962,0.24272,0.29092,0.12483,1.18501,4.87776,2.04005,0.00089067,0.00089067,0.00089067
4,245.085,0.72986,0.81134,1.32619,0.28281,0.20065,0.27442,0.15754,1.14853,6.06476,1.94961,0.000882003,0.000882003,0.000882003
5,312.088,0.71204,0.7513,1.31554,0.31708,0.12626,0.27104,0.13152,1.10193,5.61837,1.90494,0.000873004,0.000873004,0.000873004
6,358.619,0.69323,0.71615,1.30454,0.32503,0.30097,0.32145,0.13745,1.32885,5.70544,2.12565,0.000864004,0.000864004,0.000864004
7,405.843,0.70128,0.69567,1.30718,0.18694,0.11327,0.19419,0.08306,1.08599,5.6476,1.92831,0.000855005,0.000855005,0.000855005
8,451.863,0.68817,0.66679,1.2921,0.19644,0.08825,0.17188,0.07003,1.15602,5.89321,1.9001,0.000846006,0.000846006,0.000846006
9,498.76,0.68323,0.63781,1.28826,0.55216,0.1521,0.23225,0.1236,1.23865,6.70057,2.02737,0.000837007,0.000837007,0.000837007
10,539.266,0.68173,0.63084,1.28524,0.29443,0.08738,0.13687,0.06551,1.2554,5.92083,2.10131,0.000828008,0.000828008,0.000828008
11,578.023,0.66783,0.60447,1.27871,0.27889,0.17152,0.28045,0.14536,1.2468,6.43028,2.03959,0.000819009,0.000819009,0.000819009
12,614.505,0.66825,0.59519,1.27738,0.28379,0.12298,0.25314,0.11524,1.26155,7.10537,2.05283,0.00081001,0.00081001,0.00081001
13,650.38,0.66098,0.57748,1.27,0.16693,0.10713,0.23064,0.12054,1.14761,6.7647,1.94409,0.000801011,0.000801011,0.000801011
14,688.703,0.65163,0.55836,1.25917,0.24704,0.22236,0.27966,0.14221,1.22923,6.97243,2.04551,0.000792012,0.000792012,0.000792012
15,723.177,0.65545,0.56855,1.26424,0.12773,0.10032,0.1315,0.06732,1.37438,6.35958,2.07207,0.000783013,0.000783013,0.000783013
16,758.82,0.65604,0.55547,1.26909,0.19542,0.05825,0.15183,0.08179,1.31318,7.55754,2.0591,0.000774013,0.000774013,0.000774013
17,796.167,0.63793,0.54614,1.25358,0.16841,0.28803,0.21486,0.11417,1.3249,7.19241,2.01307,0.000765014,0.000765014,0.000765014
18,833.496,0.64987,0.53409,1.26113,0.21927,0.12298,0.19724,0.08056,1.54279,8.02828,2.40687,0.000756015,0.000756015,0.000756015
19,870.214,0.64071,0.54234,1.2586,0.30727,0.09061,0.16111,0.0809,1.38101,7.4744,2.19382,0.000747016,0.000747016,0.000747016
20,908.02,0.63957,0.53755,1.25471,0.23471,0.09385,0.1707,0.09856,1.21458,7.01782,1.96945,0.000738017,0.000738017,0.000738017
21,945.56,0.63129,0.52591,1.25159,0.18974,0.18447,0.23994,0.11326,1.35163,7.76314,2.12216,0.000729018,0.000729018,0.000729018
22,982.6,0.63312,0.52336,1.24884,0.31342,0.09061,0.16939,0.09226,1.42366,8.16676,2.28839,0.000720019,0.000720019,0.000720019
23,1020.78,0.62648,0.50752,1.2445,0.3045,0.09061,0.1604,0.0842,1.29024,8.13761,2.18841,0.00071102,0.00071102,0.00071102
24,1057.9,0.62945,0.50521,1.24735,0.30068,0.09709,0.13626,0.06356,1.36262,7.43347,2.18411,0.000702021,0.000702021,0.000702021
25,1095.44,0.62842,0.50248,1.24665,0.31904,0.09061,0.15162,0.07742,1.34092,7.16311,2.20176,0.000693022,0.000693022,0.000693022
26,1132.54,0.62934,0.50313,1.24299,0.1333,0.16828,0.17118,0.09482,1.51045,7.39147,2.13302,0.000684022,0.000684022,0.000684022
27,1170.22,0.61957,0.49378,1.23044,0.18958,0.15534,0.19649,0.09377,1.36623,7.10929,2.09939,0.000675023,0.000675023,0.000675023
28,1208.09,0.61867,0.48132,1.23356,0.32877,0.08738,0.13571,0.06877,1.37794,6.81997,2.03495,0.000666024,0.000666024,0.000666024
29,1245.71,0.61774,0.48395,1.2397,0.13986,0.12621,0.15637,0.0764,1.38174,7.62875,2.10989,0.000657025,0.000657025,0.000657025
30,1282.9,0.62045,0.47787,1.23521,0.14859,0.17962,0.20603,0.10646,1.35269,7.81387,2.07209,0.000648026,0.000648026,0.000648026
31,1319.43,0.62317,0.48962,1.24122,0.16665,0.17472,0.19355,0.09696,1.37398,8.07747,2.19335,0.000639027,0.000639027,0.000639027
32,1355.14,0.62085,0.47516,1.23771,0.19023,0.12477,0.19277,0.10762,1.45635,7.56004,2.18573,0.000630028,0.000630028,0.000630028
33,1389.76,0.61424,0.46591,1.23191,0.14684,0.1427,0.20399,0.10535,1.45985,8.20572,2.13592,0.000621029,0.000621029,0.000621029
34,1423.74,0.61245,0.4847,1.23599,0.15064,0.23751,0.19444,0.10291,1.52923,8.15394,2.19726,0.00061203,0.00061203,0.00061203
35,1457.68,0.61758,0.47122,1.23714,0.29255,0.10356,0.19282,0.09424,1.35972,8.30053,2.13378,0.000603031,0.000603031,0.000603031
36,1491.73,0.6163,0.46648,1.23437,0.32272,0.08738,0.12064,0.06346,1.45753,7.89384,2.18581,0.000594031,0.000594031,0.000594031
37,1525.64,0.60989,0.46265,1.22802,0.22265,0.08738,0.17791,0.0945,1.50638,9.22472,2.20701,0.000585032,0.000585032,0.000585032
