epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89242,1.81836,4.00025,1.50749,0.00137,0.38929,0.02344,0.00953,2.00814,4.10263,1.98725,0.0002858,0.0002858,0.0002858
2,5.28267,1.5943,2.98304,1.36782,0.00155,0.44341,0.00841,0.00204,1.95183,4.11316,2.00769,0.00058009,0.00058009,0.00058009
3,7.63436,1.5813,2.83945,1.39229,0.00169,0.50234,0.04024,0.01695,1.99689,3.83828,2.08238,0.000868438,0.000868438,0.000868438
4,9.96215,1.58331,2.6209,1.41335,0.04782,0.02056,0.01517,0.00551,2.06674,3.997,2.20028,0.00115084,0.00115084,0.00115084
5,12.2749,1.53581,2.48856,1.41738,0.06179,0.03296,0.06898,0.02789,1.9958,3.59752,2.1118,0.00137241,0.00137241,0.00137241
6,14.627,1.50634,2.33001,1.38934,0.05963,0.07337,0.05301,0.02159,2.04852,3.50656,2.15899,0.00135826,0.00135826,0.00135826
7,16.9608,1.43201,2.1891,1.34872,0.19783,0.48772,0.24285,0.08544,1.97023,2.73539,2.03903,0.00134412,0.00134412,0.00134412
8,19.3572,1.50345,2.07035,1.36756,0.05701,0.12311,0.06036,0.02366,1.89202,3.46719,1.93037,0.00132997,0.00132997,0.00132997
9,21.6962,1.44035,2.0182,1.34744,0.2634,0.4572,0.29074,0.10938,2.06037,2.36106,2.03341,0.00131582,0.00131582,0.00131582
10,24.0854,1.44541,1.93808,1.3314,0.15818,0.5143,0.21161,0.08052,2.00956,2.69756,2.00484,0.00130168,0.00130168,0.00130168
11,26.4903,1.387,1.79378,1.27641,0.15965,0.33997,0.18071,0.07037,1.94699,2.56813,2.01513,0.00128753,0.00128753,0.00128753
12,34.1302,1.41459,1.81771,1.34193,0.2257,0.49427,0.23472,0.09074,2.00155,2.23007,2.06525,0.00127338,0.00127338,0.00127338
13,44.9767,1.40064,1.7531,1.29403,0.21984,0.52783,0.25108,0.09359,1.95171,2.2243,1.96891,0.00125923,0.00125923,0.00125923
14,54.8647,1.37613,1.60546,1.27878,0.20572,0.54781,0.23085,0.09031,1.98565,2.47923,2.01527,0.00124509,0.00124509,0.00124509
15,62.1261,1.37354,1.64426,1.29492,0.1874,0.20207,0.16986,0.06762,2.00614,2.74009,2.06482,0.00123094,0.00123094,0.00123094
16,65.939,1.38887,1.64095,1.30618,0.19864,0.6439,0.25816,0.09336,2.00215,2.23364,2.03994,0.00121679,0.00121679,0.00121679
17,69.4022,1.40226,1.61428,1.28288,0.15061,0.45884,0.20807,0.0867,1.91693,2.23472,1.94913,0.00120265,0.00120265,0.00120265
18,72.0551,1.35057,1.59213,1.28303,0.29364,0.75497,0.37218,0.13683,1.88522,1.84678,1.91064,0.0011885,0.0011885,0.0011885
19,74.5572,1.33178,1.52776,1.28898,0.20792,0.36612,0.2958,0.10309,1.89537,2.15235,1.88355,0.00117435,0.00117435,0.00117435
20,77.0192,1.32791,1.49957,1.24843,0.26114,0.71008,0.27873,0.10569,1.99297,2.28479,2.01924,0.00116021,0.00116021,0.00116021
21,79.589,1.32236,1.4939,1.25928,0.24909,0.78219,0.28561,0.11733,1.9209,2.25203,1.97227,0.00114606,0.00114606,0.00114606
22,82.0506,1.30368,1.52871,1.27932,0.23077,0.62593,0.27026,0.09886,1.96727,2.27739,2.00386,0.00113191,0.00113191,0.00113191
23,84.5182,1.28203,1.44234,1.23681,0.32419,0.73584,0.34853,0.13988,1.89638,1.99904,1.94638,0.00111776,0.00111776,0.00111776
24,87.0929,1.30497,1.43575,1.23925,0.2804,0.58063,0.33793,0.13208,1.92582,1.91396,1.95923,0.00110362,0.00110362,0.00110362
25,89.5831,1.287,1.41227,1.25326,0.2347,0.7031,0.2688,0.11491,1.95296,2.02138,1.99924,0.00108947,0.00108947,0.00108947
26,92.2364,1.32105,1.42826,1.2561,0.26841,0.82312,0.31138,0.12491,2.01771,1.88881,2.08146,0.00107532,0.00107532,0.00107532
27,94.7952,1.23194,1.38907,1.23082,0.24255,0.77881,0.27679,0.11816,1.88885,2.10856,1.95455,0.00106118,0.00106118,0.00106118
28,97.4583,1.26918,1.36707,1.23761,0.22582,0.66053,0.33604,0.14265,1.80997,2.04196,1.88209,0.00104703,0.00104703,0.00104703
29,100.497,1.28937,1.38678,1.26078,0.30143,0.69254,0.3394,0.13018,1.93956,1.92822,2.00238,0.00103288,0.00103288,0.00103288
30,103.535,1.2808,1.35817,1.24567,0.29769,0.80583,0.41675,0.15696,1.88779,1.8459,1.94157,0.00101873,0.00101873,0.00101873
31,106.395,1.28448,1.39257,1.2548,0.26258,0.7586,0.27376,0.10927,1.98342,2.04355,2.01797,0.00100459,0.00100459,0.00100459
32,109.234,1.26305,1.36072,1.24762,0.28264,0.84594,0.33741,0.13873,1.84724,1.89794,1.91732,0.00099044,0.00099044,0.00099044
33,112.213,1.24033,1.35913,1.25247,0.28777,0.51812,0.38879,0.15021,1.86088,1.92203,1.9374,0.000976293,0.000976293,0.000976293
34,114.959,1.21857,1.33005,1.199,0.2591,0.81392,0.2944,0.11831,1.86842,1.94765,1.94242,0.000962146,0.000962146,0.000962146
35,118.138,1.21937,1.29479,1.20449,0.29278,0.77555,0.34059,0.14242,1.89816,1.75709,1.96315,0.000947999,0.000947999,0.000947999
36,120.899,1.21863,1.32487,1.20377,0.28,0.80506,0.30972,0.13097,1.8687,1.844,1.93217,0.000933851,0.000933851,0.000933851
37,123.726,1.19747,1.33095,1.2053,0.25963,0.77434,0.30147,0.12003,1.87205,2.06112,1.96984,0.000919704,0.000919704,0.000919704
38,126.971,1.20008,1.31794,1.20195,0.22202,0.65671,0.24505,0.09432,2.08369,2.16938,2.1035,0.000905557,0.000905557,0.000905557
39,129.96,1.23911,1.32667,1.21245,0.26004,0.80746,0.30959,0.12579,1.96071,1.87282,2.0081,0.00089141,0.00089141,0.00089141
40,132.935,1.25759,1.28489,1.21454,0.26455,0.73603,0.3269,0.12707,1.87088,1.91198,1.9221,0.000877263,0.000877263,0.000877263
41,136.097,1.23656,1.22979,1.2057,0.28514,0.80186,0.30714,0.11778,1.98478,1.95101,2.00406,0.000863116,0.000863116,0.000863116
42,139.234,1.21523,1.25119,1.21405,0.2658,0.73389,0.36566,0.13398,1.99269,2.05842,2.01677,0.000848969,0.000848969,0.000848969
43,142.413,1.21618,1.27496,1.20658,0.25144,0.72113,0.36747,0.13715,1.89741,2.00877,1.94336,0.000834822,0.000834822,0.000834822
44,145.523,1.22313,1.27859,1.20489,0.26828,0.75498,0.2939,0.1201,1.91476,2.04129,1.95162,0.000820675,0.000820675,0.000820675
45,148.557,1.19377,1.29934,1.21585,0.25404,0.78264,0.26916,0.10942,1.91908,2.07504,1.99945,0.000806528,0.000806528,0.000806528
46,151.437,1.1994,1.25863,1.21239,0.29424,0.82068,0.30689,0.1269,1.91683,1.94582,1.96953,0.00079238,0.00079238,0.00079238
47,154.59,1.18933,1.27015,1.19709,0.27584,0.85759,0.37233,0.15948,1.86341,1.68058,1.95007,0.000778233,0.000778233,0.000778233
48,157.846,1.20408,1.23541,1.20342,0.23491,0.84392,0.3295,0.12852,2.0031,1.85072,2.12797,0.000764086,0.000764086,0.000764086
49,161.182,1.22613,1.27181,1.21405,0.26964,0.8911,0.34576,0.14953,1.82037,1.79017,1.9186,0.000749939,0.000749939,0.000749939
50,164.417,1.13555,1.20783,1.18161,0.24822,0.80695,0.28898,0.11909,1.94067,2.1721,2.00676,0.000735792,0.000735792,0.000735792
51,167.592,1.18973,1.26738,1.17756,0.28006,0.75391,0.34367,0.14268,1.91723,1.80979,1.99318,0.000721645,0.000721645,0.000721645
52,170.742,1.17178,1.29501,1.19944,0.29423,0.79565,0.36241,0.14441,1.85666,1.81674,1.94405,0.000707498,0.000707498,0.000707498
53,173.839,1.13486,1.23018,1.17682,0.31182,0.79656,0.32367,0.12509,1.87849,1.78793,1.96668,0.000693351,0.000693351,0.000693351
54,177.227,1.14749,1.22631,1.14932,0.2904,0.81484,0.31993,0.13339,1.95477,1.86681,2.01903,0.000679204,0.000679204,0.000679204
55,181.209,1.10157,1.18755,1.13573,0.26332,0.75961,0.31895,0.12494,2.00471,1.89055,2.07208,0.000665057,0.000665057,0.000665057
56,184.839,1.15616,1.19973,1.1877,0.26239,0.77702,0.28384,0.10912,2.00824,2.00759,2.08194,0.000650909,0.000650909,0.000650909
57,188.048,1.12232,1.19535,1.18003,0.28745,0.7747,0.35262,0.14873,1.83416,1.76955,1.89511,0.000636762,0.000636762,0.000636762
58,191.404,1.1373,1.24075,1.16249,0.26896,0.95006,0.332,0.14494,1.91927,1.72214,1.98514,0.000622615,0.000622615,0.000622615
59,194.461,1.11229,1.18916,1.15347,0.27149,0.87499,0.31759,0.14236,1.89289,1.70386,1.97664,0.000608468,0.000608468,0.000608468
60,197.884,1.1081,1.19571,1.16521,0.28273,0.87144,0.30951,0.13204,1.89893,1.83401,1.98904,0.000594321,0.000594321,0.000594321
61,200.747,1.09671,1.15732,1.14603,0.25355,0.81166,0.3251,0.14221,1.90118,1.85793,1.97874,0.000580174,0.000580174,0.000580174
62,203.698,1.086,1.17504,1.14529,0.29579,0.85336,0.33406,0.14171,1.87474,1.73003,1.9513,0.000566027,0.000566027,0.000566027
63,206.488,1.10536,1.13483,1.15425,0.30865,0.8867,0.31688,0.13203,1.91514,1.77723,1.99171,0.00055188,0.00055188,0.00055188
64,209.271,1.08881,1.13908,1.15804,0.34218,0.83164,0.36039,0.16755,1.8413,1.69607,1.90216,0.000537733,0.000537733,0.000537733
65,212.23,1.07985,1.16519,1.16021,0.33694,0.78691,0.35905,0.14406,1.95262,1.66404,2.04162,0.000523586,0.000523586,0.000523586
66,215.376,1.06267,1.20255,1.1566,0.32282,0.86917,0.34251,0.13374,2.00086,1.66651,2.11839,0.000509438,0.000509438,0.000509438
67,218.163,1.04939,1.12378,1.12032,0.2967,0.87144,0.32492,0.12933,1.97657,1.70987,2.05826,0.000495291,0.000495291,0.000495291
68,220.674,1.08166,1.12835,1.15337,0.32634,0.83376,0.39855,0.16902,1.89982,1.66159,2.00556,0.000481144,0.000481144,0.000481144
69,223.367,1.05504,1.15896,1.14126,0.30666,0.81225,0.38171,0.18139,1.76395,1.67139,1.8786,0.000466997,0.000466997,0.000466997
70,225.984,1.03797,1.16467,1.14018,0.2948,0.75967,0.32056,0.1418,1.84367,1.72655,1.96207,0.00045285,0.00045285,0.00045285
71,228.753,1.03522,1.13969,1.11661,0.30458,0.91575,0.31442,0.13814,1.8334,1.77204,1.93235,0.000438703,0.000438703,0.000438703
72,231.206,1.05208,1.12784,1.11383,0.30216,0.83359,0.31027,0.13031,1.94771,1.73158,2.06581,0.000424556,0.000424556,0.000424556
73,233.85,1.05224,1.16211,1.12539,0.30056,0.84284,0.33014,0.1367,1.95257,1.80492,2.07543,0.000410409,0.000410409,0.000410409
74,236.432,1.00644,1.07924,1.11638,0.33178,0.79003,0.34499,0.14651,1.90102,1.71855,2.0436,0.000396262,0.000396262,0.000396262
75,239.087,1.01076,1.06937,1.10485,0.3092,0.80019,0.38208,0.15954,1.91412,1.72109,2.0851,0.000382115,0.000382115,0.000382115
76,241.757,1.05226,1.13928,1.13159,0.31788,0.78303,0.36894,0.15717,1.94905,1.7068,2.05785,0.000367967,0.000367967,0.000367967
77,244.201,1.02146,1.10194,1.10465,0.33108,0.85396,0.38045,0.1568,1.99912,1.67565,2.11309,0.00035382,0.00035382,0.00035382
78,246.806,1.02367,1.08525,1.1172,0.31495,0.76602,0.34423,0.14499,1.99544,1.72511,2.09881,0.000339673,0.000339673,0.000339673
79,249.404,1.03135,1.06862,1.10311,0.30056,0.89809,0.3231,0.12881,2.00666,1.77474,2.11743,0.000325526,0.000325526,0.000325526
80,251.967,1.02095,1.12017,1.12124,0.34272,0.83512,0.39539,0.15936,1.98463,1.61837,2.16672,0.000311379,0.000311379,0.000311379
81,254.522,1.04168,1.13579,1.15171,0.31337,0.89908,0.36617,0.13366,2.16215,1.72186,2.35989,0.000297232,0.000297232,0.000297232
82,257.383,1.00436,1.09112,1.13243,0.29548,0.88598,0.33571,0.12945,2.06212,1.77437,2.21939,0.000283085,0.000283085,0.000283085
83,260.079,1.01883,1.08884,1.11063,0.29912,0.86637,0.37607,0.1477,1.93952,1.68008,2.059,0.000268938,0.000268938,0.000268938
84,262.844,1.02374,1.10447,1.1245,0.3084,0.71029,0.37483,0.14178,2.03709,1.77145,2.18297,0.000254791,0.000254791,0.000254791
85,265.461,1.01213,1.05328,1.09936,0.34704,0.60291,0.36815,0.14458,1.98229,1.83145,2.10471,0.000240644,0.000240644,0.000240644
86,268.148,0.99292,1.09406,1.11325,0.29348,0.71219,0.35378,0.14438,1.97308,1.84301,2.09615,0.000226497,0.000226497,0.000226497
87,270.762,0.94128,1.0455,1.0866,0.31506,0.8006,0.35099,0.14433,2.01696,1.80107,2.1713,0.000212349,0.000212349,0.000212349
88,273.749,0.98012,1.07592,1.11013,0.30497,0.7893,0.36342,0.15756,1.93397,1.7172,2.07979,0.000198202,0.000198202,0.000198202
89,276.242,0.95821,1.00504,1.08536,0.33062,0.6766,0.3513,0.15144,2.01761,1.66316,2.20099,0.000184055,0.000184055,0.000184055
90,278.706,0.98916,1.06736,1.10445,0.32271,0.81078,0.33545,0.13738,2.06329,1.66377,2.24506,0.000169908,0.000169908,0.000169908
91,282.263,0.98391,1.04949,1.14043,0.3206,0.80986,0.33865,0.13499,2.08189,1.70481,2.26641,0.000155761,0.000155761,0.000155761
92,284.655,0.94059,1.03244,1.13511,0.29921,0.8102,0.33815,0.12713,2.04777,1.8005,2.19925,0.000141614,0.000141614,0.000141614
93,287.306,0.92514,1.00984,1.11217,0.29558,0.81497,0.33005,0.13473,2.01945,1.77761,2.18415,0.000127467,0.000127467,0.000127467
94,289.787,0.92223,1.01655,1.10796,0.31369,0.86139,0.32315,0.129,2.04073,1.7687,2.22132,0.00011332,0.00011332,0.00011332
95,292.25,0.93392,1.00427,1.11655,0.30993,0.85889,0.34142,0.13333,2.05202,1.76098,2.24434,9.91726e-05,9.91726e-05,9.91726e-05
96,294.706,0.9248,0.9964,1.10192,0.30907,0.82948,0.33665,0.13521,2.0222,1.76408,2.20289,8.50255e-05,8.50255e-05,8.50255e-05
97,297.162,0.89984,0.99935,1.09768,0.31047,0.83078,0.34408,0.13795,2.01866,1.76662,2.20202,7.08784e-05,7.08784e-05,7.08784e-05
98,299.603,0.89965,0.99135,1.10786,0.30804,0.82098,0.3545,0.14404,2.04104,1.79215,2.22934,5.67313e-05,5.67313e-05,5.67313e-05
99,302.044,0.88462,0.95328,1.08554,0.31456,0.83159,0.35922,0.14107,2.05817,1.79366,2.25267,4.25842e-05,4.25842e-05,4.25842e-05
100,304.58,0.90171,0.96067,1.10235,0.30973,0.80907,0.35373,0.13958,2.06507,1.79612,2.25699,2.84371e-05,2.84371e-05,2.84371e-05
